"probe" "entrez.id"
"196" "1555564_a_at" "3426"
"197" "1555579_s_at" "5797"
"198" "1555600_s_at" "80832"
"199" "1555638_a_at" "64092"
"200" "1555716_a_at" "1525"
"201" "1555719_a_at" "89876"
"202" "1555724_s_at" "6876"
"203" "1555725_a_at" "8490"
"204" "1555728_a_at" "51338"
"205" "1555731_a_at" "130340"
"206" "1555745_a_at" "4069"
"207" "1555756_a_at" "64581"
"208" "1555758_a_at" "1033"
"209" "1555759_a_at" "6352"
"210" "1555772_a_at" "993"
"211" "1555778_a_at" "10631"
"212" "1555793_a_at" "284406"
"213" "1555804_a_at" "80122"
"214" "1555812_a_at" "397"
"215" "1555816_at" ""
"216" "1555817_s_at" ""
"217" "1555826_at" "8475"
"218" "1555827_at" "57018"
"219" "1555829_at" "57488"
"220" "1555830_s_at" "57488"
"221" "1555831_s_at" "10489"
"222" "1555832_s_at" "1316"
"223" "1555842_at" "9266"
"224" "1555847_a_at" "284454"
"225" "1555852_at" "100507463"
"226" "1555867_at" "2786"
"227" "1555870_at" "388591"
"228" "1555872_a_at" "389741 /// 728903"
"229" "1555878_at" "6229"
"230" "1555882_at" "169981"
"231" "1555888_at" "51366"
"232" "1555890_at" "401428 /// 441295"
"233" "1555892_s_at" "253039"
"234" "1555905_a_at" "285343"
"235" "1555920_at" "11335"
"236" "1555923_a_at" "399726"
"237" "1555935_s_at" "30811"
"238" "1555938_x_at" "7431"
"239" "1555950_a_at" "1604"
"240" "1555958_at" "55118"
"241" "1555963_x_at" "93010"
"242" "1555967_at" ""
"243" "1555968_a_at" ""
"244" "1555976_s_at" ""
"245" "1555977_at" ""
"246" "1555978_s_at" ""
"247" "1555989_at" ""
"248" "1555996_s_at" "1974"
"249" "1555997_s_at" "3488"
"250" "1556003_a_at" "100506777"
"251" "1556008_a_at" ""
"252" "1556029_s_at" "23057"
"253" "1556043_a_at" ""
"254" "1556051_a_at" "636"
"255" "1556054_at" ""
"256" "1556055_at" ""
"257" "1556069_s_at" "64344"
"258" "1556088_at" "84268"
"259" "1556097_at" ""
"260" "1556121_at" "4673"
"261" "1556158_at" "283726"
"262" "1556167_at" "339766"
"263" "1556168_s_at" "339766"
"264" "1556182_x_at" "441869"
"265" "1556183_at" "645784"
"266" "1556195_a_at" ""
"267" "1556202_at" "23380"
"268" "1556203_a_at" "23380"
"269" "1556211_a_at" ""
"270" "1556242_a_at" "100310756"
"271" "1556253_s_at" ""
"272" "1556277_a_at" ""
"273" "1556283_s_at" "26127"
"274" "1556325_at" "27145"
"275" "1556331_a_at" ""
"276" "1556338_at" ""
"277" "1556364_at" ""
"278" "1556385_at" ""
"279" "1556395_at" ""
"280" "1556416_s_at" ""
"281" "1556423_at" "22846"
"282" "1556427_s_at" "221091"
"283" "1556493_a_at" "23081"
"284" "1556499_s_at" "1277"
"285" "1556527_a_at" ""
"286" "1556543_at" ""
"287" "1556579_s_at" "285313"
"288" "1556589_at" ""
"289" "1556590_s_at" ""
"290" "1556595_at" ""
"291" "1556601_a_at" "221178"
"292" "1556613_s_at" "286148"
"293" "1556619_at" "729993"
"294" "1556629_a_at" "6616"
"295" "1556643_at" "93343"
"296" "1556650_at" ""
"297" "1556657_at" ""
"298" "1556658_a_at" ""
"299" "1556682_s_at" ""
"300" "1556685_at" ""
"301" "1556687_a_at" "9071"
"302" "1556711_at" "144809"
"303" "1556764_s_at" ""
"304" "1556818_at" ""
"305" "1556820_a_at" "8847"
"306" "1556821_x_at" "8847"
"307" "1556828_at" ""
"308" "1556879_at" ""
"309" "1556935_at" ""
"310" "1556942_at" ""
"311" "1556952_at" ""
"312" "1556989_at" ""
"313" "1557049_at" "149478"
"314" "1557051_s_at" ""
"315" "1557078_at" "162394"
"316" "1557080_s_at" "9358"
"317" "1557081_at" "58517"
"318" "1557100_s_at" "25831"
"319" "1557116_at" "80830"
"320" "1557155_a_at" ""
"321" "1557167_at" "493812"
"322" "1557169_x_at" "493812"
"323" "1557174_a_at" ""
"324" "1557215_at" ""
"325" "1557224_at" ""
"326" "1557227_s_at" "7175"
"327" "1557238_s_at" ""
"328" "1557242_at" ""
"329" "1557246_at" "57498"
"330" "1557248_at" "84914"
"331" "1557270_at" ""
"332" "1557292_a_at" "55283"
"333" "1557293_at" "440993"
"334" "1557383_a_at" ""
"335" "1557385_at" "84140"
"336" "1557411_s_at" "203427"
"337" "1557418_at" "2182"
"338" "1557419_a_at" "2182"
"339" "1557422_at" ""
"340" "1557432_at" "9462"
"341" "1557455_s_at" "56180"
"342" "1557478_at" ""
"343" "1557487_at" ""
"344" "1557512_at" ""
"345" "1557522_x_at" ""
"346" "1557527_at" ""
"347" "1557553_at" "4660"
"348" "1557562_at" "56850"
"349" "1557636_a_at" "136288"
"350" "1557688_at" ""
"351" "1557689_at" ""
"352" "1557690_x_at" ""
"353" "1557706_at" "22882"
"354" "1557738_at" ""
"355" "1557744_at" ""
"356" "1557745_at" ""
"357" "1557810_at" ""
"358" "1557830_at" ""
"359" "1557835_at" ""
"360" "1557852_at" ""
"361" "1557905_s_at" "960"
"362" "1557910_at" "3326"
"363" "1557918_s_at" "6566"
"364" "1557938_s_at" "284119"
"365" "1557961_s_at" "100127983"
"366" "1558002_at" "11171"
"367" "1558015_s_at" "10097"
"368" "1558028_x_at" "647979"
"369" "1558034_s_at" "1356"
"370" "1558045_a_at" "389906 /// 441528 /// 729162"
"371" "1558048_x_at" ""
"372" "1558077_s_at" "130752"
"373" "1558078_at" ""
"374" "1558080_s_at" "5611"
"375" "1558101_at" "4774"
"376" "1558102_at" ""
"377" "1558103_a_at" ""
"378" "1558105_a_at" ""
"379" "1558111_at" "4154"
"380" "1558139_at" "642477"
"381" "1558164_s_at" "5194"
"382" "1558170_at" ""
"383" "1558199_at" "2335"
"384" "1558214_s_at" "1495"
"385" "1558217_at" "146857"
"386" "1558220_at" "200958"
"387" "1558250_s_at" ""
"388" "1558279_a_at" "2531"
"389" "1558280_s_at" "9411"
"390" "1558290_a_at" "5820"
"391" "1558345_a_at" "439911"
"392" "1558356_at" "55075"
"393" "1558365_at" "5230"
"394" "1558409_at" ""
"395" "1558410_s_at" ""
"396" "1558411_at" "93556"
"397" "1558444_at" ""
"398" "1558486_at" "284443"
"399" "1558501_at" "26052"
"400" "1558508_a_at" "388722"
"401" "1558515_at" "100302692"
"402" "1558569_at" "100131541"
"403" "1558605_at" ""
"404" "1558662_s_at" "55024"
"405" "1558678_s_at" "378938"
"406" "1558680_s_at" "5136"
"407" "1558692_at" "112770"
"408" "1558700_s_at" "339324"
"409" "1558702_at" "54881"
"410" "1558732_at" "9448"
"411" "1558747_at" "23347"
"412" "1558748_at" ""
"413" "1558750_a_at" "100288693"
"414" "1558766_at" ""
"415" "1558790_s_at" "286103"
"416" "1558791_at" "286467"
"417" "1558809_s_at" "284408"
"418" "1558820_a_at" "374864"
"419" "1558828_s_at" "728264"
"420" "1558922_at" ""
"421" "1558924_s_at" "6249"
