"","SAMPLEID","ClassLabel"
"219","TCGA-23-2072","C4"
"220","TCGA-23-2077","C2"
"221","TCGA-23-2078","C1"
"222","TCGA-23-2079","C2"
"223","TCGA-23-2081","C1"
"224","TCGA-23-2084","C2"
"225","TCGA-24-0966","C4"
"226","TCGA-24-0968","C2"
"227","TCGA-24-0970","C1"
"228","TCGA-24-0975","C1"
"229","TCGA-24-0979","C4"
"230","TCGA-24-0980","C2"
"231","TCGA-24-0981","C5"
"232","TCGA-24-0982","C5"
"233","TCGA-24-1103","C4"
"234","TCGA-24-1104","C4"
"235","TCGA-24-1105","C5"
"236","TCGA-24-1413","C4"
"237","TCGA-24-1416","C4"
"238","TCGA-24-1417","C2"
"239","TCGA-24-1418","C1"
"240","TCGA-24-1419","C5"
"241","TCGA-24-1422","C1"
"242","TCGA-24-1423","C4"
"243","TCGA-24-1424","C5"
"244","TCGA-24-1425","C1"
"245","TCGA-24-1426","C5"
"246","TCGA-24-1427","C1"
"247","TCGA-24-1428","C2"
"248","TCGA-24-1430","C5"
"249","TCGA-24-1431","C4"
"250","TCGA-24-1434","C1"
"251","TCGA-24-1435","C1"
"252","TCGA-24-1436","C2"
"253","TCGA-24-1463","C1"
"254","TCGA-24-1464","C4"
"255","TCGA-24-1466","C4"
"256","TCGA-24-1467","C4"
"257","TCGA-24-1469","C4"
"258","TCGA-24-1470","C2"
"259","TCGA-24-1471","C4"
"260","TCGA-24-1474","C4"
"261","TCGA-24-1544","C5"
"262","TCGA-24-1545","C1"
"263","TCGA-24-1546","C1"
"264","TCGA-24-1548","C4"
"265","TCGA-24-1549","C2"
"266","TCGA-24-1550","C1"
"267","TCGA-24-1551","C2"
"268","TCGA-24-1552","C4"
"269","TCGA-24-1553","C2"
"270","TCGA-24-1555","C4"
"271","TCGA-24-1556","C2"
"272","TCGA-24-1557","C4"
"273","TCGA-24-1558","C4"
"274","TCGA-24-1560","C4"
"275","TCGA-24-1562","C1"
"276","TCGA-24-1563","C1"
"277","TCGA-24-1564","C1"
"278","TCGA-24-1565","C4"
"279","TCGA-24-1567","C5"
"280","TCGA-24-1603","C4"
"281","TCGA-24-1604","C4"
"282","TCGA-24-1614","C5"
"283","TCGA-24-1616","C4"
"284","TCGA-24-1842","C2"
"285","TCGA-24-1843","C2"
"286","TCGA-24-1844","C4"
"287","TCGA-24-1845","C4"
"288","TCGA-24-1846","C2"
"289","TCGA-24-1847","C2"
"290","TCGA-24-1849","C1"
"291","TCGA-24-1850","C1"
"292","TCGA-24-1920","C4"
"293","TCGA-24-1923","C5"
"294","TCGA-24-1924","C2"
"295","TCGA-24-1928","C1"
"296","TCGA-24-1930","C2"
"297","TCGA-24-2019","C5"
"298","TCGA-24-2020","C5"
"299","TCGA-24-2023","C4"
"300","TCGA-24-2024","C1"
"301","TCGA-24-2026","C2"
"302","TCGA-24-2027","C5"
"303","TCGA-24-2029","C1"
"304","TCGA-24-2030","C5"
"305","TCGA-24-2033","C1"
"306","TCGA-24-2035","C1"
"307","TCGA-24-2036","C5"
"308","TCGA-24-2038","C4"
"309","TCGA-24-2254","C1"
"310","TCGA-24-2260","C5"
"311","TCGA-24-2261","C2"
"312","TCGA-25-1312","C4"
"313","TCGA-25-1313","C2"
"314","TCGA-25-1314","C4"
"315","TCGA-25-1315","C5"
"316","TCGA-25-1316","C5"
"317","TCGA-25-1317","C5"
"318","TCGA-25-1318","C1"
"319","TCGA-25-1319","C4"
"320","TCGA-25-1320","C1"
"321","TCGA-25-1321","C4"
"322","TCGA-25-1322","C2"
"323","TCGA-25-1323","C5"
"324","TCGA-25-1324","C5"
"325","TCGA-25-1325","C4"
"326","TCGA-25-1326","C1"
"327","TCGA-25-1328","C1"
"328","TCGA-25-1329","C1"
"329","TCGA-25-1623","C1"
"330","TCGA-25-1625","C2"
"331","TCGA-25-1626","C1"
"332","TCGA-25-1627","C5"
"333","TCGA-25-1628","C1"
"334","TCGA-25-1630","C2"
"335","TCGA-25-1631","C4"
"336","TCGA-25-1632","C5"
"337","TCGA-25-1633","C1"
"338","TCGA-25-1634","C5"
"339","TCGA-25-1635","C1"
"340","TCGA-25-1870","C4"
"341","TCGA-25-1871","C5"
"342","TCGA-25-1877","C5"
"343","TCGA-25-1878","C2"
"344","TCGA-29-1688","C2"
"345","TCGA-29-1690","C1"
"346","TCGA-29-1691","C2"
"347","TCGA-29-1693","C1"
"348","TCGA-29-1694","C1"
"349","TCGA-29-1695","C1"
"350","TCGA-29-1696","C4"
"351","TCGA-29-1697","C5"
"352","TCGA-29-1698","C1"
"353","TCGA-29-1699","C2"
"354","TCGA-29-1701","C1"
"355","TCGA-29-1702","C5"
"356","TCGA-29-1703","C4"
"357","TCGA-29-1705","C1"
"358","TCGA-29-1707","C2"
"359","TCGA-29-1710","C2"
"360","TCGA-29-1711","C2"
"361","TCGA-29-1761","C2"
"362","TCGA-29-1762","C5"
"363","TCGA-29-1763","C1"
"364","TCGA-29-1764","C1"
"365","TCGA-29-1766","C1"
"366","TCGA-29-1768","C1"
"367","TCGA-29-1769","C1"
"368","TCGA-29-1770","C1"
"369","TCGA-29-1771","C4"
"370","TCGA-29-1774","C5"
"371","TCGA-29-1775","C4"
"372","TCGA-29-1776","C1"
"373","TCGA-29-1777","C1"
"374","TCGA-29-1778","C2"
"375","TCGA-29-1781","C2"
"376","TCGA-29-1783","C2"
"377","TCGA-29-1784","C2"
"378","TCGA-29-1785","C2"
"379","TCGA-30-1714","C4"
"380","TCGA-30-1718","C1"
"381","TCGA-30-1853","C5"
"382","TCGA-30-1855","C1"
"383","TCGA-30-1856","C2"
"384","TCGA-30-1857","C1"
"385","TCGA-30-1859","C5"
"386","TCGA-30-1860","C2"
"387","TCGA-30-1861","C1"
