probeset Group
231766_s_at C1.UP
213652_at C1.UP
226695_at C1.UP
224396_s_at C1.UP
213725_x_at C1.UP
227058_at C1.UP
228776_at C1.UP
212488_at C1.UP
243140_at C1.UP
204114_at C1.UP
1561689_at C1.UP
206326_at C1.UP
212489_at C1.UP
222020_s_at C1.UP
206488_s_at C1.UP
213069_at C1.UP
208851_s_at C1.UP
228481_at C1.UP
212344_at C1.UP
207173_x_at C1.UP
209540_at C1.UP
212950_at C1.UP
202952_s_at C1.UP
201148_s_at C1.UP
229218_at C1.UP
221900_at C1.UP
202620_s_at C1.UP
204619_s_at C1.UP
202404_s_at C1.UP
204472_at C1.UP
207426_s_at C1.UP
232090_at C1.UP
213338_at C1.UP
205433_at C1.UP
206227_at C1.UP
208782_at C1.UP
205624_at C1.UP
235318_at C1.UP
223499_at C1.UP
207172_s_at C1.UP
1554966_a_at C1.UP
212713_at C1.UP
235629_at C1.UP
201069_at C1.UP
225790_at C1.UP
202007_at C1.UP
231001_at C1.UP
203878_s_at C1.UP
225464_at C1.UP
225275_at C1.UP
239286_at C1.UP
214085_x_at C1.UP
214702_at C1.UP
210170_at C1.UP
1568765_at C1.UP
214696_at C1.UP
212670_at C1.UP
202766_s_at C1.UP
213933_at C1.UP
1557080_s_at C1.UP
204774_at C1.UP
228608_at C1.UP
202450_s_at C1.UP
225481_at C1.UP
229530_at C1.UP
219523_s_at C1.UP
235521_at C1.UP
205941_s_at C1.UP
201109_s_at C1.UP
211813_x_at C1.UP
209541_at C1.UP
204284_at C1.UP
211571_s_at C1.UP
213001_at C1.UP
1555724_s_at C1.UP
201842_s_at C1.UP
207574_s_at C1.UP
202765_s_at C1.UP
232914_s_at C1.UP
212077_at C1.UP
231240_at C1.UP
1554018_at C1.UP
225242_s_at C1.UP
202437_s_at C1.UP
218162_at C1.UP
210764_s_at C1.UP
203886_s_at C1.UP
215646_s_at C1.UP
219561_at C1.UP
206796_at C1.UP
205666_at C1.UP
235371_at C1.UP
201150_s_at C1.UP
205330_at C1.UP
224694_at C1.UP
226769_at C1.UP
209542_x_at C1.UP
226237_at C1.UP
217764_s_at C1.UP
208131_s_at C1.UP
216235_s_at C1.UP
228128_x_at C1.UP
214587_at C1.UP
222379_at C1.UP
231341_at C1.UP
206481_s_at C1.UP
52651_at C1.UP
232805_at C1.UP
217762_s_at C1.UP
204955_at C1.UP
212419_at C1.UP
205518_s_at C1.UP
232458_at C1.UP
204051_s_at C1.UP
201149_s_at C1.UP
201141_at C1.UP
230867_at C1.UP
203325_s_at C1.UP
203180_at C1.UP
201893_x_at C1.UP
205428_s_at C1.UP
205798_at C1.UP
204464_s_at C1.UP
202274_at C1.UP
227486_at C1.UP
226142_at C1.UP
211577_s_at C1.UP
204620_s_at C1.UP
209612_s_at C1.UP
219602_s_at C1.UP
219304_s_at C1.UP
217022_s_at C1.UP
228367_at C1.UP
209365_s_at C1.UP
1553275_s_at C1.UP
219410_at C1.UP
239336_at C1.UP
213125_at C1.UP
221898_at C1.UP
204879_at C1.UP
205226_at C1.UP
210004_at C1.UP
205991_s_at C1.UP
221447_s_at C1.UP
236179_at C1.UP
221911_at C1.UP
227856_at C1.UP
221731_x_at C1.UP
202403_s_at C1.UP
204035_at C1.UP
220092_s_at C1.UP
229947_at C1.UP
201852_x_at C1.UP
226103_at C1.UP
227660_at C1.UP
204135_at C1.UP
1555938_x_at C1.UP
212464_s_at C1.UP
203868_s_at C1.UP
231148_at C1.UP
204222_s_at C1.UP
229461_x_at C1.UP
202311_s_at C1.UP
226930_at C1.UP
241026_at C1.UP
202664_at C1.UP
242397_at C1.UP
201792_at C1.UP
202998_s_at C1.UP
209732_at C1.UP
205499_at C1.UP
224941_at C1.UP
212667_at C1.UP
205908_s_at C1.UP
232268_at C1.UP
203548_s_at C1.UP
203700_s_at C1.UP
227399_at C1.UP
209613_s_at C1.UP
201389_at C1.UP
241473_at C1.UP
229327_s_at C1.UP
216442_x_at C1.UP
202273_at C1.UP
210133_at C1.UP
233607_at C1.UP
203789_s_at C1.UP
205700_at C1.UP
217763_s_at C1.UP
219779_at C1.UP
241700_at C1.UP
1556935_at C1.UP
210495_x_at C1.UP
230071_at C1.UP
209758_s_at C1.UP
225524_at C1.UP
219607_s_at C1.UP
228396_at C1.UP
235821_at C1.UP
201307_at C1.UP
222670_s_at C1.UP
204938_s_at C1.UP
205479_s_at C1.UP
215617_at C1.UP
233365_at C1.UP
225897_at C1.UP
205249_at C1.UP
238852_at C1.UP
214927_at C1.UP
200897_s_at C1.UP
211980_at C1.UP
242680_at C1.UP
209621_s_at C1.UP
222899_at C1.UP
233109_at C1.UP
216044_x_at C1.UP
205381_at C1.UP
204589_at C1.UP
236044_at C1.UP
218656_s_at C1.UP
238592_at C1.UP
208396_s_at C1.UP
211668_s_at C1.UP
202436_s_at C1.UP
208789_at C1.UP
204339_s_at C1.UP
204338_s_at C1.UP
205713_s_at C1.UP
202238_s_at C1.UP
214701_s_at C1.UP
223235_s_at C1.UP
206932_at C1.UP
243864_at C1.UP
225782_at C1.UP
203603_s_at C1.UP
203951_at C1.UP
202499_s_at C1.UP
203876_s_at C1.UP
202202_s_at C1.UP
204337_at C1.UP
209191_at C1.UP
202988_s_at C1.UP
205422_s_at C1.UP
238617_at C1.UP
226875_at C1.UP
201278_at C1.UP
203887_s_at C1.UP
206026_s_at C1.UP
228827_at C1.UP
218638_s_at C1.UP
230214_at C1.UP
227099_s_at C1.UP
213247_at C1.UP
202627_s_at C1.UP
213004_at C1.UP
207175_at C1.UP
211597_s_at C1.UP
211719_x_at C1.UP
209335_at C1.UP
61734_at C1.UP
205066_s_at C1.UP
206666_at C1.UP
206025_s_at C1.UP
219700_at C1.UP
231993_at C1.UP
213068_at C1.UP
238481_at C1.UP
225681_at C1.UP
212472_at C1.UP
206101_at C1.UP
231202_at C1.UP
235978_at C1.UP
37512_at C1.UP
214043_at C1.UP
204575_s_at C1.UP
201505_at C1.UP
203708_at C1.UP
219655_at C1.UP
201110_s_at C1.UP
200907_s_at C1.UP
213689_x_at C1.UP
1557051_s_at C1.UP
202310_s_at C1.UP
215077_at C1.UP
228082_at C1.UP
201506_at C1.UP
220088_at C1.UP
235182_at C1.UP
202628_s_at C1.UP
213496_at C1.UP
214770_at C1.UP
205913_at C1.UP
205100_at C1.UP
220918_at C1.UP
209596_at C1.UP
217525_at C1.UP
205419_at C1.UP
201744_s_at C1.UP
225496_s_at C1.UP
237290_at C1.UP
215198_s_at C1.UP
222722_at C1.UP
226834_at C1.UP
233611_at C1.UP
226047_at C1.UP
229088_at C1.UP
201042_at C1.UP
219529_at C1.UP
235650_at C1.Down
205654_at C1.Down
216510_x_at C2.UP
206420_at C2.UP
207134_x_at C1.UP
213197_at C1.Down
1553655_at C1.Down
209671_x_at C2.UP
221286_s_at C2.UP
218730_s_at C1.UP
228241_at C1.Down
231310_at C1.Down
229937_x_at C2.UP
215602_at C2.UP
1559280_a_at C1.UP
238625_at C1.Down
229273_at C1.Down
205269_at C2.UP
242907_at C2.UP
226535_at C1.UP
240857_at C1.Down
219987_at C1.Down
209670_at C2.UP
211639_x_at C2.UP
209763_at C1.UP
229542_at C1.Down
232286_at C1.Down
226818_at C2.UP
223484_at C2.UP
204563_at C1.UP
206022_at C1.Down
203304_at C1.Down
211881_x_at C2.UP
210321_at C2.UP
202827_s_at C1.UP
230093_at C1.Down
229331_at C1.Down
220330_s_at C2.UP
235643_at C2.UP
206157_at C1.UP
240275_at C1.Down
207149_at C1.Down
216557_x_at C2.UP
217022_s_at C2.UP
217258_x_at C1.UP
239150_at C1.Down
203295_s_at C1.Down
215379_x_at C2.UP
217227_x_at C2.UP
1552487_a_at C1.UP
242064_at C1.Down
206670_s_at C1.Down
201422_at C2.UP
217235_x_at C2.UP
205523_at C1.UP
204623_at C1.Down
235874_at C1.Down
212588_at C2.UP
213502_x_at C2.UP
230865_at C1.UP
236085_at C1.Down
219795_at C1.Down
215121_x_at C2.UP
213537_at C2.UP
205242_at C1.UP
203908_at C1.Down
209752_at C1.Down
210895_s_at C2.UP
204070_at C2.UP
209990_s_at C1.UP
237281_at C1.Down
1570289_at C1.Down
209606_at C2.UP
210873_x_at C2.UP
230204_at C1.UP
222890_at C1.Down
212850_s_at C1.Down
216207_x_at C2.UP
211868_x_at C2.UP
209125_at C1.UP
238018_at C1.Down
207271_x_at C1.Down
1555745_a_at C2.UP
206118_at C2.UP
236203_at C1.UP
223609_at C1.Down
206893_at C1.Down
223501_at C2.UP
205671_s_at C2.UP
219937_at C1.UP
228554_at C1.Down
230964_at C1.Down
211650_x_at C2.UP
1559584_a_at C2.UP
203649_s_at C1.UP
237131_at C1.Down
206224_at C1.Down
211902_x_at C2.UP
216615_s_at C2.UP
229152_at C1.UP
1562371_s_at C1.Down
206669_at C1.Down
211138_s_at C2.UP
219768_at C2.UP
201496_x_at C1.UP
240331_at C1.Down
205242_at C2.UP
229560_at C2.UP
205569_at C2.UP
206001_at C1.UP
239477_at C1.Down
211122_s_at C2.UP
204232_at C2.UP
216365_x_at C2.UP
219873_at C1.Down
206228_at C1.Down
222838_at C2.UP
227266_s_at C2.UP
32128_at C2.UP
203824_at C1.Down
221874_at C1.Down
210163_at C2.UP
227458_at C2.UP
221491_x_at C2.UP
229849_at C1.Down
218876_at C1.Down
203915_at C2.UP
236191_at C2.UP
217360_x_at C2.UP
209560_s_at C1.Down
229147_at C1.Down
216491_x_at C2.UP
204834_at C2.UP
205660_at C2.UP
209243_s_at C1.Down
233516_s_at C1.Down
205692_s_at C2.UP
211908_x_at C2.UP
236198_at C2.UP
209242_at C1.Down
230601_s_at C1.Down
204116_at C2.UP
203416_at C2.UP
211339_s_at C2.UP
219331_s_at C1.Down
230378_at C1.Down
204533_at C2.UP
201720_s_at C2.UP
209924_at C2.UP
222871_at C1.Down
231728_at C1.Down
1555759_a_at C2.UP
222868_s_at C2.UP
203290_at C2.UP
238878_at C1.Down
220269_at C1.Down
211796_s_at C2.UP
202307_s_at C2.UP
216541_x_at C2.UP
242662_at C1.Down
220156_at C1.Down
219159_s_at C2.UP
230422_at C2.UP
223939_at C2.UP
1568604_a_at C1.Down
236320_at C1.Down
206715_at C2.UP
229723_at C2.UP
224404_s_at C2.UP
225165_at C1.Down
239916_at C1.Down
210915_x_at C2.UP
234884_x_at C2.UP
217002_s_at C2.UP
207414_s_at C1.Down
239216_at C1.Down
1405_i_at C2.UP
202901_x_at C2.UP
231647_s_at C2.UP
239884_at C1.Down
1568606_at C1.Down
211637_x_at C2.UP
216560_x_at C2.UP
209396_s_at C2.UP
220102_at C1.Down
216663_s_at C1.Down
206134_at C2.UP
214973_x_at C2.UP
220445_s_at C2.UP
213369_at C1.Down
231172_at C1.Down
205831_at C2.UP
217148_x_at C2.UP
220994_s_at C2.UP
233950_at C1.Down
1556711_at C1.Down
214768_x_at C2.UP
229390_at C2.UP
209395_at C2.UP
229012_at C1.Down
235956_at C1.Down
229625_at C2.UP
201858_s_at C2.UP
205975_s_at C2.UP
216733_s_at C1.Down
231729_s_at C1.Down
204655_at C2.UP
211643_x_at C2.UP
223779_at C2.UP
238657_at C1.Down
206230_at C1.Down
213193_x_at C2.UP
215214_at C2.UP
216829_at C2.UP
209470_s_at C1.Down
243802_at C1.Down
235175_at C2.UP
218232_at C2.UP
226960_at C2.UP
209469_at C1.Down
1559277_at C1.Down
238581_at C2.UP
211634_x_at C2.UP
234792_x_at C2.UP
231077_at C1.Down
237282_s_at C1.Down
214777_at C2.UP
211742_s_at C2.UP
204580_at C2.UP
227867_at C1.Down
236373_at C1.Down
211430_s_at C2.UP
