Probe.ID Entrez.ID
205381_at 10234
204589_at 9891
236044_at 196051
218656_s_at 10186
238592_at 27295
208396_s_at 5136
211668_s_at 5328
202436_s_at 1545
208789_at 284119
204339_s_at 5999
204338_s_at 5999
205713_s_at 1311
202238_s_at 4837
214701_s_at 2335
223235_s_at 64094
206932_at 9023
243864_at 151887
225782_at 253827
203603_s_at 9839
203951_at 1264
202499_s_at 6515
203876_s_at 4320
202202_s_at 3910
204337_at 5999
209191_at 84617
202988_s_at 5996
205422_s_at 9358
238617_at ---
226875_at 139818
201278_at 1601
203887_s_at 7056
206026_s_at 7130
228827_at ---
218638_s_at 10417
230214_at 10335
227099_s_at 387763
213247_at 79987
202627_s_at 5054
213004_at 23452
207175_at 9370
211597_s_at 84525
211719_x_at 2335
209335_at 1634
61734_at 57333
205066_s_at 5167
206666_at 3003
206025_s_at 7130
219700_at 57125
231993_at ---
213068_at 1805
238481_at 4256
225681_at 115908
212472_at 9645
206101_at 1842
231202_at 160428
235978_at 2167
37512_at 8630
214043_at 5789
204575_s_at 4327
201505_at 3912
203708_at 5142
219655_at 79783
201110_s_at 7057
200907_s_at 23022
213689_x_at 6125
1557051_s_at ---
202310_s_at 1277
215077_at ---
228082_at 79827
201506_at 7045
220088_at 728
235182_at 140862
202628_s_at 5054
213496_at 9890
214770_at 4481
205913_at 5346
205100_at 9945
220918_at 80215
209596_at 25878
217525_at 283298
205419_at 1880
201744_s_at 4060
225496_s_at 54843
237290_at 23576
215198_s_at 800
222722_at 4969
226834_at ---
233611_at 5592
226047_at 10335
229088_at ---
201042_at 7052
219529_at 9022
235650_at 222256
205654_at 722
216510_x_at 3493
206420_at 10261
207134_x_at 7177
213197_at 460
1553655_at 166979
209671_x_at 28755
221286_s_at 51237
218730_s_at 4969
228241_at 155465
231310_at ---
229937_x_at 10859
215602_at 221472
1559280_a_at ---
238625_at 199920
229273_at 6299
205269_at 3937
242907_at 2634
226535_at ---
240857_at 1770
219987_at 79584
209670_at 28755
211639_x_at ---
209763_at 91851
229542_at 128602
232286_at 3899
226818_at 219972
223484_at 84419
204563_at 6402
206022_at 4693
203304_at 25805
211881_x_at 28831
210321_at 2999
202827_s_at 4323
230093_at 89765
229331_at 132671
220330_s_at 64092
235643_at 219285
206157_at 5806
240275_at 219681
207149_at 1010
216557_x_at 3493
217022_s_at 3493
217258_x_at ---
239150_at 132203
203295_s_at 477
215379_x_at 28793
217227_x_at ---
1552487_a_at 646
242064_at 54549
206670_s_at 2571
201422_at 10437
217235_x_at ---
205523_at 1404
204623_at 7033
235874_at 167681
212588_at 5788
213502_x_at 91316
230865_at 167410
236085_at 133690
219795_at 11254
215121_x_at 28786
213537_at 3113
205242_at 10563
203908_at 8671
209752_at 5967
210895_s_at 942
204070_at 5920
209990_s_at 9568
237281_at 158798
1570289_at 646736
209606_at 9595
210873_x_at 200315
230204_at ---
222890_at 29070
212850_s_at 4038
216207_x_at 28902
211868_x_at 3493
209125_at 140446
238018_at 285016
207271_x_at 10407
1555745_a_at 4069
206118_at 6775
236203_at 3123
223609_at 83853
206893_at 6299
223501_at ---
205671_s_at 3112
219937_at 29953
228554_at ---
230964_at 341640
211650_x_at ---
1559584_a_at 283897
203649_s_at 5320
237131_at 645469
206224_at 1469
211902_x_at 6955
216615_s_at 3359
229152_at 260436
1562371_s_at 200403
206669_at 2571
211138_s_at 8564
219768_at 79679
201496_x_at 4629
240331_at 658
205242_at 10563
229560_at 51311
205569_at 27074
206001_at 4852
239477_at 151651
211122_s_at 6373
204232_at 2207
216365_x_at 3538
219873_at 78989
206228_at 5076
222838_at 57823
227266_s_at 2533
32128_at 6362
203824_at 7103
221874_at 57535
210163_at 6373
227458_at ---
221491_x_at 3123
229849_at ---
218876_at 51673
203915_at 4283
236191_at 952
217360_x_at 3493
209560_s_at 8788
229147_at ---
216491_x_at 3507
204834_at 10875
205660_at 8638
209243_s_at 5178
233516_s_at 200162
205692_s_at 952
211908_x_at ---
236198_at ---
209242_at 5178
230601_s_at 90506
204116_at 3561
203416_at 963
211339_s_at 3702
219331_s_at 55220
230378_at 92304
204533_at 3627
201720_s_at 7805
209924_at 6362
222871_at 55220
231728_at 828
1555759_a_at 6352
222868_s_at 10068
203290_at 3117
238878_at 170302
220269_at 79740
211796_s_at 28566
202307_s_at 6890
216541_x_at 28461
242662_at 5046
220156_at 79645
219159_s_at 57823
230422_at 2359
223939_at 56670
1568604_a_at 8618
236320_at 149483
206715_at 22797
229723_at 117289
224404_s_at 83416
225165_at 84152
239916_at 146845
210915_x_at 28568
234884_x_at ---
217002_s_at 3359
207414_s_at 5046
239216_at 83659
1405_i_at 6352
202901_x_at 1520
231647_s_at 83416
239884_at ---
1568606_at 399949
211637_x_at 90925
216560_x_at 3537
209396_s_at 1116
220102_at 668
216663_s_at 51364
206134_at 27299
214973_x_at 3495
220445_s_at 9598
213369_at 92211
231172_at 286207
205831_at 914
217148_x_at 28815
220994_s_at 29091
233950_at 8618
1556711_at 144809
214768_x_at ---
229390_at 441168
209395_at 1116
229012_at 84688
235956_at 57562
229625_at 115362
201858_s_at 5552
205975_s_at 3231
216733_s_at 2628
231729_s_at 828
204655_at 6352
211643_x_at 651961
223779_at 84740
238657_at 127733
206230_at 3975
213193_x_at 28568
215214_at 3535
216829_at ---
209470_s_at 2823
